Year;Rank;Name;Citizenship;Country Code;Net Worth Billion;Age;Industry Aggregates;Selfmade;Generation of Inheritance;Type of Wealth;Industry;Relationship to Company;Gender;Source of Wealth;Sector;Company;Company type;Founding Date;Political Connection;GDP Currentus;Region;Notes;Notes 2;Deflator 1996;Real Net Worth;Characteristics
2001;272;Herbert Allen;United States;USA;1.79999995232;61.0;Financial;inherited;inherited from father;inherited;Money Management;relation;male;;investment banking;Allen & Company;new;1922;;10621824000000.0;North America;inherited from father;;109.114585876;1.64964187145;North,Founder,Real Billionaires
2014;215;Herbert Kohler, Jr.;United States;USA;6.3;75.0;Traded Sectors;inherited;Third generation;inherited;Non-consumer industrial;relation;male;plumbing fixtures;manufacturing;Kohler Company;new;1873;;;North America;3rd generation;;;;North,Founder
1996;280;Hiroshi Yamauchi;Japan;JPN;1.39999997616;68.0;New Sectors;inherited;Third generation;inherited;Technology-Computer;relation;male;;video games;Nintendo;new;1889;;4706187126020.0;East Asia;3rd generation;;100.000007629;1.39999985695;North,Founder,Real Billionaires
2014;1154;Horst Brandstaetter;Germany;DEU;1.5;80.0;Traded Sectors;inherited;Third generation;inherited;Consumer;relation;male;toys;toys;Brandstatter Group;new;1876;;;Europe;responsible for the creation of playmobil in 1974, 3rd generation;;138.802093506;1.08067536354;North,Founder,Real Billionaires
2014;551;Husnu Ozyegin;Turkey;TUR;3.0;69.0;Financial;self-made;;self-made finance;Money Management;founder;male;finance, diversified;finance;FIBA Holding;new;1987;;;Middle East/North Africa;got his start in banking with a job at his schoolfriends bank;;138.802093506;2.16135072708;North,Founder,Real Billionaires
1996;234;Ingvar Kamprad;Sweden;SWE;1.70000004768;69.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;;furniture;IKEA;new;1943;;288103936773.0;Europe;;;100.000007629;1.69999992847;North,Founder,Real Billionaires
2014;367;Ingvar Kamprad;Sweden;SWE;4.1;87.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;Ikea;furniture;IKEA;new;1953;;;Europe;;;;;North,Founder
2014;58;Iris Fontbona;Chile;CHL;15.5;71.0;Resource Related;inherited;spouse or widow;inherited;Mining and metals;relation;female;mining;mining;Antofagasta PLC;aquired;1888;;;Latin America;widow;;;;North,Founder
2015;;Viatcheslav Kantor;Russia;RUS;2.4;;Traded Sectors;;;;Consumer;;;fertilizer;;;;;;;Europe;;;138.802093506;1.72908055782;North,Real Billionaires
2015;;Vincent Viola;United States;USA;2.2;;New Sectors;;;;Technology-Computer;;;Electronic Trading;;;;;;;North America;;;138.802093506;1.5849905014;North,Real Billionaires
2015;;Vinod Gupta;India;IND;1.6;;Traded Sectors;;;;Non-consumer industrial;;;Electrical Equipment;;;;;;;South Asia;;;138.802093506;1.15272033215;North,Real Billionaires
2015;1054;Vladimir Kim;Kazakhstan;KAZ;1.8;54.0;Resource Related;;;;Mining and metals;;;Mining;;;;;;;South Asia;;;138.802093506;1.29681038857;North,Real Billionaires
2015;;Vladimir Potanin;Russia;RUS;13.9;;Resource Related;;;;Mining and metals;;;Metals;;;;;;;Europe;;;138.802093506;10.0142583847;North,Real Billionaires
2015;512;Walter Faria;Brazil;BRA;3.4;59.0;Traded Sectors;;;;Consumer;;;Beer;;;;;;;Latin America;;;138.802093506;2.44953083992;North,Real Billionaires
2015;;Walter Frey;Switzerland;CHE;1.5;;Non-Traded Sectors;;;;Retail, Restaurant;;;Emil Frey Group;;;;;;;Europe;;;138.802093506;1.08067536354;North,Real Billionaires
2015;1741;Wang Jianfeng;China;CHN;1.0;45.0;Traded Sectors;;;;Non-consumer industrial;;;Auto Parts;;;;;;;East Asia;;;138.802093506;0.720450222492;North,Real Billionaires
2015;29;Wang Jianlin;China;CHN;24.2;60.0;Financial;;;;Real Estate;;;Real Estate;;;;;;;East Asia;;;138.802093506;17.4348964691;North,Real Billionaires
2015;1712;Wang Qinghui;China;CHN;1.1;46.0;Non-Traded Sectors;;;;Media;;;Telecom Services;;;;;;;East Asia;;;138.802093506;0.792495250702;North,Real Billionaires
2015;;Wang Qingtao;China;CHN;1.7;;Resource Related;;;;Energy;;;Steel Smelting;;;;;;;East Asia;;;138.802093506;1.22476541996;North,Real Billionaires
2015;;Wang Wei;China;CHN;3.7;;Non-Traded Sectors;;;;Retail, Restaurant;;;Package Delivery Service;;;;;;;East Asia;;;138.802093506;2.66566586494;North,Real Billionaires
2015;125;Wang Wenyin;China;CHN;9.9;47.0;Resource Related;;;;Mining and metals;;;Mining, Copper Products;;;;;;;East Asia;;;138.802093506;7.13245725632;North,Real Billionaires
2015;;Warren Buffett;United States;USA;62.6;;Traded Sectors;;;;Consumer;;;Berkshire Hathaway;;;;;;;North America;;;138.802093506;45.1001853943;North,Real Billionaires
2015;949;Wei Ying-Chiao;Taiwan;Taiwan;2.0;60.0;Traded Sectors;;;;Consumer;;;Food, Beverages;;;;;;;East Asia;;;138.802093506;1.44090044498;North,Real Billionaires
2015;737;William Ackman;United States;USA;2.5;48.0;Financial;;;;Hedge funds;;;Hedge Funds;;;;;;;North America;;;138.802093506;1.80112552643;North,Real Billionaires
2015;1533;William F. Austin;United States;USA;1.2;73.0;New Sectors;;;;Technology-Medical;;;Hearing Aids;;;;;;;North America;;;138.802093506;0.864540278912;North,Real Billionaires
2015;;William Koch;United States;USA;2.2;;Resource Related;;;;Energy;;;Oil, Investments;;;;;;;North America;;;138.802093506;1.5849905014;North,Real Billionaires
2015;;Wolfgang Reimann;Germany;DEU;4.4;;Traded Sectors;;;;Consumer;;;Consumer Goods;;;;;;;Europe;;;138.802093506;3.16998100281;North,Real Billionaires
2014;1143;Wong Kwong Yu & family;China;CHN;1.54999995232;44.0;Non-Traded Sectors;;;;Retail, Restaurant;;;retail;;;;;;10360105247900.0;East Asia;;;138.802093506;1.11669778824;North,Real Billionaires
2015;;Wong Luen Hei;China;CHN;1.8;;Traded Sectors;;;;Non-consumer industrial;;;Home Building Materials;;;;;;;East Asia;;;138.802093506;1.29681038857;North,Real Billionaires
2015;1324;Xiu Laigui;China;CHN;1.4;60.0;New Sectors;;;;Technology-Medical;;;Pharmaceuticals;;;;;;;East Asia;;;138.802093506;1.00863027573;North,Real Billionaires
2015;894;Sulaiman Al Rajhi;Saudi Arabia;SAU;2.1;87.0;Financial;;;;Money Management;;;Banking;;;;;;;Middle East/North Africa;;;138.802093506;1.5129455328;North,Real Billionaires
2015;1638;Surendra Hiranandani;India;IND;1.1;60.0;Financial;;;;Real Estate;;;Real Estate;;;;;;;South Asia;;;138.802093506;0.792495250702;North,Real Billionaires
2015;894;Susan Hirt Hagen;United States;USA;2.1;79.0;Financial;;;;Money Management;;;Insurance;;;;;;;North America;;;138.802093506;1.5129455328;North,Real Billionaires
2015;;Susanne Klatten;Germany;DEU;14.2;;Traded Sectors;;;;Consumer;;;Bmw, Pharmaceuticals;;;;;;;Europe;;;138.802093506;10.2303934097;North,Real Billionaires
2014;520;Syed Mokhtar Al-Bukhary;Malaysia;MYS;3.09999990463;62.0;Financial;;;;Diversified financial;;;diversified;;;;;;326933043801.0;East Asia;;;138.802093506;2.23339557648;North,Real Billionaires
2015;577;Tang Yiu;Hong Kong;HKG;3.1;81.0;Non-Traded Sectors;;;;Retail, Restaurant;;;Retail;;;;;;;East Asia;;;138.802093506;2.2333958149;North,Real Billionaires
2015;;Ted Lerner;United States;USA;5.5;;Financial;;;;Real Estate;;;Real Estate;;;;;;;North America;;;138.802093506;3.96247625351;North,Real Billionaires
2015;277;Teh Hong Piow;Malaysia;MYS;5.4;84.0;Financial;;;;Money Management;;;Banking;;;;;;;East Asia;;;138.802093506;3.8904311657;North,Real Billionaires
2015;462;Theo Mueller;Germany;DEU;3.7;75.0;Traded Sectors;;;;Consumer;;;Dairy;;;;;;;Europe;;;138.802093506;2.66566586494;North,Real Billionaires
2014;227;Thomas Frist, Jr. & family;United States;USA;6.09999990463;75.0;New Sectors;;;;Technology-Medical;;;health care;;;;;;17419000000000.0;North America;;;138.802093506;4.39474630356;North,Real Billionaires
2015;;Thomas Peterffy;United States;USA;13.7;;Financial;;;;Money Management;;;Discount Brokerage;;;;;;;North America;;;138.802093506;9.87016773224;North,Real Billionaires
2015;534;Thomas Struengmann;Germany;DEU;3.3;65.0;New Sectors;;;;Technology-Medical;;;Pharmaceuticals;;;;;;;Europe;;;138.802093506;2.37748575211;North,Real Billionaires
2015;;Trond Mohn;Norway;NOR;1.1;;Traded Sectors;;;;Non-consumer industrial;;;Cargo Pumps;;;;;;;Europe;;;138.802093506;0.792495250702;North,Real Billionaires
2015;894;Tsai Cheng-da;Taiwan;Taiwan;2.1;;Financial;;;;Money Management;;;Finance;;;;;;;East Asia;;;138.802093506;1.5129455328;North,Real Billionaires
2015;185;Uday Kotak;India;IND;7.2;55.0;Financial;;;;Money Management;;;Banking;;;;;;;South Asia;;;138.802093506;5.18724155426;North,Real Billionaires
2015;462;Ursula Engelhorn;Germany;DEU;3.7;;New Sectors;;;;Technology-Medical;;;Pharmaceuticals/Medical Equipment;;;;;;;Europe;;;138.802093506;2.66566586494;North,Real Billionaires
2015;;Vagit Alekperov;Russia;RUS;9.7;;Resource Related;;;;Energy;;;Lukoil;;;;;;;Europe;;;138.802093506;6.98836708069;North,Real Billionaires
2015;1054;Bill Adderley;United Kingdom;GBR;1.8;67.0;Traded Sectors;;;;Consumer;;;Home Furnishings;;;;;;;Europe;;;138.802093506;1.29681038857;North,Real Billionaires
2015;;Bill Adderley;United Kingdom;GBR;1.8;;Traded Sectors;;;;Consumer;;;Home Furnishings;;;;;;;Europe;;;138.802093506;1.29681038857;North,Real Billionaires
2015;1605;Blairo Maggi;Brazil;BRA;1.2;58.0;Traded Sectors;;;;Consumer;;;Agribusiness;;;;;;;Latin America;;;138.802093506;0.864540278912;North,Real Billionaires
2015;512;Brian Acton;United States;USA;3.4;43.0;New Sectors;;;;Technology-Computer;;;Whatsapp;;;;;;;North America;;;138.802093506;2.44953083992;North,Real Billionaires
2015;248;Bruce Halle;United States;USA;5.9;84.0;Traded Sectors;;;;Consumer;;;Tires;;;;;;;North America;;;138.802093506;4.25065612793;North,Real Billionaires
2015;;Bruce Kovner;United States;USA;5.2;;Financial;;;;Hedge funds;;;Hedge Funds;;;;;;;North America;;;138.802093506;3.74634122849;North,Real Billionaires
2015;110;Carlos Alberto Sicupira;Brazil;BRA;11.3;67.0;Traded Sectors;;;;Consumer;;;Beer;;;;;;;Latin America;;;138.802093506;8.14108753204;North,Real Billionaires
2015;;Carrie Perrodo;France;FRA;6.3;;0.0;;;;Other;;;Inherited;;;;;;;Europe;;;138.802093506;4.53883647919;North,Real Billionaires
2015;;Chang Yung Fa;Taiwan;Taiwan;1.5;;0.0;;;;Other;;;Transportation;;;;;;;East Asia;;;138.802093506;1.08067536354;North,Real Billionaires
2015;;Chen Fashu;China;CHN;2.6;;Financial;;;;Diversified financial;;;Mining, Hypermarkets;;;;;;;East Asia;;;138.802093506;1.87317061424;North,Real Billionaires
2015;;Chen Jianhua;China;CHN;1.4;;Traded Sectors;;;;Non-consumer industrial;;;Chemicals;;;;;;;East Asia;;;138.802093506;1.00863027573;North,Real Billionaires
2014;1210;Chen Jianhua & family;China;CHN;1.39999997616;43.0;Traded Sectors;;;;Non-consumer industrial;;;chemicals;;;;;;10360105247900.0;East Asia;;;138.802093506;1.00863027573;North,Real Billionaires
2015;;Chen Jinxia;China;CHN;1.9;;Financial;;;;Diversified financial;;;Investments;;;;;;;East Asia;;;138.802093506;1.36885547638;North,Real Billionaires
2015;;Cheng Xue;China;CHN;1.2;;Traded Sectors;;;;Consumer;;;Soy Sauce Maker;;;;;;;East Asia;;;138.802093506;0.864540278912;North,Real Billionaires
2015;497;Chey Tae-Won;South Korea;KOR;3.5;54.0;Traded Sectors;;;;Consumer;;;Computer Services/Telecoms;;;;;;;East Asia;;;138.802093506;2.52157568932;North,Real Billionaires
2015;;Clement Fayat;France;FRA;1.3;;Non-Traded Sectors;;;;Constrution;;;Construction;;;;;;;Europe;;;138.802093506;0.936585307121;North,Real Billionaires
2015;;Clive Calder;United Kingdom;GBR;2.5;;Non-Traded Sectors;;;;Media;;;Record Label;;;;;;;Europe;;;138.802093506;1.80112552643;North,Real Billionaires
2015;;Dan Friedkin;United States;USA;3.6;;Non-Traded Sectors;;;;Retail, Restaurant;;;Toyota Dealerships;;;;;;;North America;;;138.802093506;2.59362077713;North,Real Billionaires
2015;1190;Dan Gertler;Israel;ISR;1.6;41.0;Resource Related;;;;Mining and metals;;;Mining;;;;;;;Middle East/North Africa;;;138.802093506;1.15272033215;North,Real Billionaires
2015;737;Daniel Loeb;United States;USA;2.5;53.0;Financial;;;;Hedge funds;;;Hedge Funds;;;;;;;North America;;;138.802093506;1.80112552643;North,Real Billionaires
2015;1250;Darwin Deason;United States;USA;1.5;74.0;Non-Traded Sectors;;;;Retail, Restaurant;;;Xerox;;;;;;;North America;;;138.802093506;1.08067536354;North,Real Billionaires
2015;;David & Frederick Barclay;United Kingdom;GBR;5.0;;Non-Traded Sectors;;;;Media;;;Media, Retail;;;;;;;Europe;;;138.802093506;3.60225105286;North,Real Billionaires
2015;179;David Duffield;United States;USA;7.4;74.0;New Sectors;;;;Technology-Computer;;;Business Software;;;;;;;North America;;;138.802093506;5.33133172989;North,Real Billionaires
2015;1741;David McMurtry;United Kingdom;GBR;1.0;74.0;Traded Sectors;;;;Non-consumer industrial;;;Manufacturing;;;;;;;Europe;;;138.802093506;0.720450222492;North,Real Billionaires
2015;;David Rubenstein;United States;USA;2.6;;Financial;;;;Private equity/leveraged buyout;;;Private Equity;;;;;;;North America;;;138.802093506;1.87317061424;North,Real Billionaires
2015;1638;David Sainsbury;United Kingdom;GBR;1.1;74.0;Non-Traded Sectors;;;;Retail, Restaurant;;;Retail;;;;;;;Europe;;;138.802093506;0.792495250702;North,Real Billionaires
2015;199;Denis O'Brien;Ireland;IRL;6.8;56.0;Non-Traded Sectors;;;;Media;;;Telecom;;;;;;;Europe;;;138.802093506;4.89906167984;North,Real Billionaires
2015;;Ding Shizhong;China;CHN;1.6;;Traded Sectors;;;;Consumer;;;Sports Apparel;;;;;;;East Asia;;;138.802093506;1.15272033215;North,Real Billionaires
2015;452;Dmitry Kamenshchik;Russia;RUS;3.8;46.0;Financial;;;;Real Estate;;;Airport;;;;;;;Europe;;;138.802093506;2.73771095276;North,Real Billionaires
2015;1173;Domenico Dolce;Italy;ITA;1.7;56.0;Traded Sectors;;;;Consumer;;;Dolce & Gabbana;;;;;;;Europe;;;138.802093506;1.22476541996;North,Real Billionaires
2015;;Dona Bertarelli;Switzerland;CHE;4.4;;New Sectors;;;;Technology-Medical;;;Biotech;;;;;;;Europe;;;138.802093506;3.16998100281;North,Real Billionaires
2015;64;Donald Bren;United States;USA;15.2;82.0;Financial;;;;Real Estate;;;Real Estate;;;;;;;North America;;;138.802093506;10.950843811;North,Real Billionaires
2015;;Donald Trump;United States;USA;4.0;;Non-Traded Sectors;;;;Media;;;Television, Real Estate;;;;;;;North America;;;138.802093506;2.88180088997;North,Real Billionaires
2015;1533;Drew Houston;United States;USA;1.2;31.0;New Sectors;;;;Technology-Computer;;;Dropbox;;;;;;;North America;;;138.802093506;0.864540278912;North,Real Billionaires
2014;1284;Du Jiangtao & family;China;CHN;1.29999995232;44.0;Traded Sectors;;;;Non-consumer industrial;;;chemicals;;;;;;10360105247900.0;East Asia;;;138.802093506;0.936585247517;North,Real Billionaires
2015;;Eddie & Sol Zakay;United Kingdom;GBR;3.2;;Financial;;;;Real Estate;;;Real Estate;;;;;;;Europe;;;138.802093506;2.30544066429;North,Real Billionaires
2015;847;Edgar de Picciotto;Switzerland;CHE;2.2;85.0;Financial;;;;Money Management;;;Private Banking;;;;;;;Europe;;;138.802093506;1.5849905014;North,Real Billionaires
2015;1190;Eduardo Carmignac;France;FRA;1.6;67.0;Financial;;;;Money Management;;;Asset Management;;;;;;;Europe;;;138.802093506;1.15272033215;North,Real Billionaires
2015;;Edwin Leong;Hong Kong;HKG;2.9;;Financial;;;;Real Estate;;;Real Estate;;;;;;;East Asia;;;138.802093506;2.08930563927;North,Real Billionaires
2015;1173;Elisabeth Badinter;France;FRA;1.7;71.0;Non-Traded Sectors;;;;Media;;;Advertising;;;;;;;Europe;;;138.802093506;1.22476541996;North,Real Billionaires
2015;;Elisabeth Badinter;France;FRA;1.5;;Non-Traded Sectors;;;;Media;;;Advertising;;;;;;;Europe;;;138.802093506;1.08067536354;North,Real Billionaires
2014;988;Elisabeth Badinter & family;France;FRA;1.79999995232;70.0;Non-Traded Sectors;;;;Media;;;advertising;;;;;;2829192039170.0;Europe;;;138.802093506;1.29681038857;North,Real Billionaires
2015;360;Elizabeth Holmes;United States;USA;4.5;31.0;New Sectors;;;;Technology-Medical;;;Blood Testing;;;;;;;North America;;;138.802093506;3.24202609062;North,Real Billionaires
2015;894;Ennio Doris;Italy;ITA;2.1;74.0;Financial;;;;Hedge funds;;;Financial Services;;;;;;;Europe;;;138.802093506;1.5129455328;North,Real Billionaires
2015;512;Erich Kellerhals;Germany;DEU;3.4;76.0;Non-Traded Sectors;;;;Retail, Restaurant;;;Electronics Retailer;;;;;;;Europe;;;138.802093506;2.44953083992;North,Real Billionaires
2015;;Evan Williams;United States;USA;1.8;;New Sectors;;;;Technology-Computer;;;Twitter;;;;;;;North America;;;138.802093506;1.29681038857;North,Real Billionaires
2015;;Fan Zhaoxia;China;CHN;1.1;;New Sectors;;;;Technology-Computer;;;Photovoltaic Equipment;;;;;;;East Asia;;;138.802093506;0.792495250702;North,Real Billionaires
2015;894;Fernando Roberto Moreira Salles;Brazil;BRA;2.1;68.0;Financial;;;;Money Management;;;Banking, Minerals;;;;;;;Latin America;;;138.802093506;1.5129455328;North,Real Billionaires
2015;949;Folorunsho Alakija;Nigeria;NGA;2.0;64.0;Resource Related;;;;Energy;;;Oil;;;;;;;Sub-Saharan Africa;;;138.802093506;1.44090044498;North,Real Billionaires
2015;;Fong Yun Wah;Hong Kong;HKG;2.3;;Financial;;;;Real Estate;;;Real Estate;;;;;;;East Asia;;;138.802093506;1.65703547001;North,Real Billionaires
2015;894;Francesco Gaetano Caltagirone;Italy;ITA;2.1;71.0;Non-Traded Sectors;;;;Constrution;;;Cement, Diversified;;;;;;;Europe;;;138.802093506;1.5129455328;North,Real Billionaires
2015;;Francois Pinault;France;FRA;12.6;;Non-Traded Sectors;;;;Retail, Restaurant;;;Retail;;;;;;;Europe;;;138.802093506;9.07767295837;North,Real Billionaires
2015;1190;Fu Meicheng;China;CHN;1.6;57.0;Non-Traded Sectors;;;;Media;;;Tv Shows, Movies;;;;;;;East Asia;;;138.802093506;1.15272033215;North,Real Billionaires
2015;1006;Gary Burrell;United States;USA;1.9;77.0;New Sectors;;;;Technology-Computer;;;Navigation Equipment;;;;;;;North America;;;138.802093506;1.36885547638;North,Real Billionaires
2015;1250;Gary Magness;United States;USA;1.5;61.0;Non-Traded Sectors;;;;Media;;;Cable, Investments;;;;;;;North America;;;138.802093506;1.08067536354;North,Real Billionaires
2015;;Gerald Ford;United States;USA;2.1;;Financial;;;;Money Management;;;Banking;;;;;;;North America;;;138.802093506;1.5129455328;North,Real Billionaires
2015;;Gerard Wertheimer;France;FRA;9.3;;Traded Sectors;;;;Consumer;;;Chanel;;;;;;;Europe;;;138.802093506;6.70018720627;North,Real Billionaires
2015;133;German Khan;Russia;RUS;9.5;53.0;Resource Related;;;;Energy;;;Banking, Telecom, Retail;;;;;;;Europe;;;138.802093506;6.8442773819;North,Real Billionaires
2015;;Gerry Harvey;Australia;AUS;1.1;;Non-Traded Sectors;;;;Retail, Restaurant;;;Retail;;;;;;;North America;;;138.802093506;0.792495250702;North,Real Billionaires
2015;;Giorgio Armani;Italy;ITA;7.5;;Traded Sectors;;;;Consumer;;;Fashion;;;;;;;Europe;;;138.802093506;5.40337657928;North,Real Billionaires
2015;;Gjert Wilhelmsen;Norway;NOR;1.5;;Non-Traded Sectors;;;;Retail, Restaurant;;;Cruise Ships;;;;;;;Europe;;;138.802093506;1.08067536354;North,Real Billionaires
2015;;Guo Wengui;China;CHN;1.8;;Financial;;;;Real Estate;;;Real Estate;;;;;;;East Asia;;;138.802093506;1.29681038857;North,Real Billionaires
2015;1006;Guy Laliberte;Canada;CAN;1.9;55.0;0.0;;;;Other;;;Cirque Du Soleil;;;;;;;North America;;;138.802093506;1.36885547638;North,Real Billionaires
2015;462;Gwendolyn Sontheim Meyer;United States;USA;3.7;53.0;Financial;;;;Money Management;;;Cargill;;;;;;;North America;;;138.802093506;2.66566586494;North,Real Billionaires
2015;;Gwendolyn Sontheim Meyer;United States;USA;3.4;;Financial;;;;Money Management;;;Cargill;;;;;;;North America;;;138.802093506;2.44953083992;North,Real Billionaires
2015;118;Hank & Doug Meijer;United States;USA;10.7;;Non-Traded Sectors;;;;Retail, Restaurant;;;Supermarkets;;;;;;;North America;;;138.802093506;7.70881748199;North,Real Billionaires
2015;;Harold Hamm;United States;USA;8.1;;Resource Related;;;;Energy;;;Oil & Gas;;;;;;;North America;;;138.802093506;5.83564662933;North,Real Billionaires
2015;137;Hasso Plattner;Germany;DEU;9.1;71.0;New Sectors;;;;Technology-Computer;;;Software;;;;;;;Europe;;;138.802093506;6.55609703064;North,Real Billionaires
2015;1324;Herbert Allen, Jr.;United States;USA;1.4;75.0;Financial;;;;Money Management;;;Investment Banking;;;;;;;North America;;;138.802093506;1.00863027573;North,Real Billionaires
2015;628;Herbert Simon;United States;USA;2.9;80.0;Financial;;;;Real Estate;;;Real Estate;;;;;;;North America;;;138.802093506;2.08930563927;North,Real Billionaires
2015;1415;Hu Kaijun;China;CHN;1.3;53.0;New Sectors;;;;Technology-Medical;;;Pharmaceuticals;;;;;;;East Asia;;;138.802093506;0.936585307121;North,Real Billionaires
2015;;Huang Wen Tsai;China;CHN;1.5;;Financial;;;;Real Estate;;;Real Estate;;;;;;;East Asia;;;138.802093506;1.08067536354;North,Real Billionaires
2015;;Hubert Burda;Germany;DEU;2.7;;Non-Traded Sectors;;;;Media;;;Publishing;;;;;;;Europe;;;138.802093506;1.94521558285;North,Real Billionaires
2015;;Hubert d'Ornano;France;FRA;1.0;;Traded Sectors;;;;Consumer;;;Cosmetics;;;;;;;Europe;;;138.802093506;0.720450222492;North,Real Billionaires
2015;;Hui Wing Mau;Hong Kong;HKG;3.8;;Financial;;;;Real Estate;;;Real Estate;;;;;;;East Asia;;;138.802093506;2.73771095276;North,Real Billionaires
2015;;Ian & Richard Livingstone;United Kingdom;GBR;4.4;;Financial;;;;Real Estate;;;Real Estate;;;;;;;Europe;;;138.802093506;3.16998100281;North,Real Billionaires
2015;;Victor Fung;United States;USA;1.7;;0.0;;;;Other;;;Trading Company;;;;;;;North America;;;138.802093506;1.22476541996;North,Real Billionaires
2015;;Vikram Lal;India;IND;3.9;;Traded Sectors;;;;Consumer;;;Motorcycles;;;;;;;South Asia;;;138.802093506;2.80975580215;North,Real Billionaires
2015;1533;Vito Rodriguez Rodriguez;Peru;PER;1.2;76.0;Traded Sectors;;;;Consumer;;;Processed Milk;;;;;;;Latin America;;;138.802093506;0.864540278912;North,Real Billionaires
2015;1226;Vivek Chand Burman;India;IND;1.6;77.0;Traded Sectors;;;;Consumer;;;Consumer Goods;;;;;;;South Asia;;;138.802093506;1.15272033215;North,Real Billionaires
2015;1250;Walter Frey;Switzerland;CHE;1.5;71.0;Non-Traded Sectors;;;;Retail, Restaurant;;;Emil Frey Group;;;;;;;Europe;;;138.802093506;1.08067536354;North,Real Billionaires
2015;1741;Wang Yong;China;CHN;1.0;64.0;Traded Sectors;;;;Consumer;;;Food Sweeteners;;;;;;;East Asia;;;138.802093506;0.720450222492;North,Real Billionaires
2015;147;Wei Jianjun;China;CHN;8.9;51.0;Traded Sectors;;;;Consumer;;;Automobiles;;;;;;;East Asia;;;138.802093506;6.41200685501;North,Real Billionaires
2001;490;Alicia Koplowitz;Spain;ESP;1.0;48.0;Non-Traded Sectors;inherited;inherited from father;inherited;Constrution;relation;female;;construction;Construcciones y Contratas;aquired;1952;;625975838926.0;Europe;inherited from father;fortune split between her and sister;109.114585876;0.916467785835;North,Founder,Real Billionaires
2014;931;Alvaro Saieh Bendeck;Chile;CHL;1.9;64.0;Financial;self-made;;self-made finance;Money Management;Chairman;male;banking;banking;Corpbanca;new;1871;;;Latin America;;;138.802093506;1.36885547638;North,Founder,Real Billionaires
2001;130;Amos Hosetter Jr;United States;USA;3.29999995232;64.0;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;;media;Continental Cablevision;new;1963;;10621824000000.0;North America;;;109.114585876;3.0243434906;North,Founder,Real Billionaires
2014;1356;Anas Sefrioui;Morocco;MAR;1.25;56.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Douja Promotion Groupe Addoha;new;1988;;;Middle East/North Africa;made first billion building public house units;;138.802093506;0.900562763214;North,Founder,Real Billionaires
2014;1372;Andrei Filatov;Russia;RUS;1.2;42.0;Financial;self-made;;self-made finance;Real Estate;founder;male;ports, railway transport;infrastructure;N-Trans;new;1996;;;Europe;;;138.802093506;0.864540278912;North,Founder,Real Billionaires
2014;1565;Angela Bennett;Australia;AUS;1.0;69.0;Resource Related;inherited;inherited from father;inherited;Mining and metals;relation;female;mining;mining;Wright Prospecting;new;1955;;;North America;inherited from father;shared fortune with brother;138.802093506;0.720450222492;North,Founder,Real Billionaires
2014;256;Arthur Irving;Canada;CAN;5.5;84.0;Resource Related;inherited;inherited from father;inherited;Energy;relation;male;oil;oil;Irving Oil;new;1924;;;North America;inherited from father;;138.802093506;3.96247625351;North,Founder,Real Billionaires
2014;340;Barbara Carlson Gage;United States;USA;4.4;71.0;Financial;inherited;inherited from father;inherited;Real Estate;relation;female;hotels, restaurants;hospitality;Carlson Inc;new;1938;;;North America;inherited from father;;138.802093506;3.16998100281;North,Founder,Real Billionaires
1996;57;Barbara Cox Anthony;United States;USA;4.0;72.0;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;female;;media;Cox Enterprises;aquired;1898;;8100200000000.0;North America;inherited from father;;100.000007629;3.99999976158;North,Founder,Real Billionaires
2001;209;Barbara Piasecka Johnson;United States;USA;2.20000004768;64.0;New Sectors;inherited;spouse or widow;inherited;Technology-Medical;relation;female;;medical supplies;Johnson & Johnson;new;1886;;10621824000000.0;North America;widow;;109.114585876;2.01622915268;North,Founder,Real Billionaires
2014;1356;Bassam Alghanim;Kuwait;KWT;1.25;62.0;Financial;inherited;inherited from father;inherited;Diversified financial;relation;male;diversified;diversified investments;Alghanim Industries;new;1932;;;Middle East/North Africa;inherited company stake from father;;138.802093506;0.900562763214;North,Founder,Real Billionaires
2014;869;Benjamin de Rothschild;Switzerland;CHE;2.0;50.0;Financial;inherited;inherited from father;inherited;Money Management;relation;male;banking;banking;Edmond de Rothschild Group;new;1953;;;Europe;member of Rothschild banking family (founded in 1812);only child;138.802093506;1.44090044498;North,Founder,Real Billionaires
2014;1078;Bergit Douglas;Germany;DEU;1.65;67.0;Traded Sectors;inherited;Fourth generation;inherited;Consumer;relation;female;consumer goods;retail;Oetker-Gruppe;new;1891;;;Europe;4th generation;;138.802093506;1.18874287605;North,Founder,Real Billionaires
2014;731;Bharat Desai;United States;USA;2.4;61.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;outsourcing;IT Consulting;Syntel;new;1980;;;North America;;;;;North,Founder
2014;869;Bruce Karsh;United States;USA;2.0;58.0;Financial;self-made;;self-made finance;Private equity/leveraged buyout;founder;male;private equity;asset management;Oaktree Capital Management;new;1995;;;North America;;;138.802093506;1.44090044498;North,Founder,Real Billionaires
